total_epoch: 100, batch_size: 175, initial_lr 0.001, drop_lr: 0.5, drop_lr_per_epoch
epoch 1, classification loss 5.4535, train acc 0.49143, train_AUC 0.5406, train_F1: 0.53886
epoch 2, classification loss 3.447, train acc 0.45714, train_AUC 0.51167, train_F1: 0.46328
epoch 3, classification loss 1.8555, train acc 0.57143, train_AUC 0.57493, train_F1: 0.4
epoch 4, classification loss 1.1123, train acc 0.58857, train_AUC 0.5742, train_F1: 0.58621
epoch 5, classification loss 1.8448, train acc 0.57143, train_AUC 0.60787, train_F1: 0.0
epoch 6, classification loss 1.3544, train acc 0.48, train_AUC 0.6164, train_F1: 0.61277
epoch 7, classification loss 1.7306, train acc 0.57143, train_AUC 0.59667, train_F1: 0.0
epoch 8, classification loss 1.328, train acc 0.44571, train_AUC 0.67333, train_F1: 0.59072
epoch 9, classification loss 1.6374, train acc 0.57143, train_AUC 0.6692, train_F1: 0.0
epoch 10, classification loss 1.3359, train acc 0.48, train_AUC 0.70493, train_F1: 0.61603
epoch 11, classification loss 1.6407, train acc 0.57143, train_AUC 0.6398, train_F1: 0.0
epoch 12, classification loss 1.0234, train acc 0.53143, train_AUC 0.7624, train_F1: 0.61321
epoch 13, classification loss 1.5114, train acc 0.57714, train_AUC 0.67467, train_F1: 0.051282
epoch 14, classification loss 1.083, train acc 0.48, train_AUC 0.75167, train_F1: 0.59193
epoch 15, classification loss 1.2226, train acc 0.58857, train_AUC 0.75507, train_F1: 0.076923
epoch 16, classification loss 1.0226, train acc 0.50857, train_AUC 0.772, train_F1: 0.60909
epoch 17, classification loss 1.1534, train acc 0.59429, train_AUC 0.80507, train_F1: 0.10127
epoch 18, classification loss 0.92029, train acc 0.6, train_AUC 0.8524, train_F1: 0.66981
epoch 19, classification loss 1.2641, train acc 0.60571, train_AUC 0.76627, train_F1: 0.14815
epoch 20, classification loss 0.91591, train acc 0.57714, train_AUC 0.826, train_F1: 0.64762
epoch 21, classification loss 1.0383, train acc 0.61143, train_AUC 0.79507, train_F1: 0.17073
epoch 22, classification loss 0.91881, train acc 0.61143, train_AUC 0.8452, train_F1: 0.66667
epoch 23, classification loss 0.9481, train acc 0.63429, train_AUC 0.80027, train_F1: 0.25581
epoch 24, classification loss 0.76791, train acc 0.65143, train_AUC 0.89007, train_F1: 0.70244
epoch 25, classification loss 0.83549, train acc 0.63429, train_AUC 0.85867, train_F1: 0.25581
epoch 26, classification loss 0.70033, train acc 0.66286, train_AUC 0.91347, train_F1: 0.70936
epoch 27, classification loss 0.83227, train acc 0.67429, train_AUC 0.8548, train_F1: 0.3871
epoch 28, classification loss 0.70043, train acc 0.68571, train_AUC 0.8894, train_F1: 0.71204
epoch 29, classification loss 0.81186, train acc 0.68571, train_AUC 0.8976, train_F1: 0.42105
epoch 30, classification loss 0.65544, train acc 0.67429, train_AUC 0.9208, train_F1: 0.71357
epoch 31, classification loss 0.69607, train acc 0.68571, train_AUC 0.89467, train_F1: 0.42105
epoch 32, classification loss 0.6671, train acc 0.70857, train_AUC 0.9098, train_F1: 0.73016
epoch 33, classification loss 0.72421, train acc 0.69143, train_AUC 0.86607, train_F1: 0.44898
epoch 34, classification loss 0.5279, train acc 0.70286, train_AUC 0.93853, train_F1: 0.72632
